term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
have a normal one	filled	11978	2	12	0.17	no	A Japanese garden usually has a pond in it.	has … pond
have someone going	filled	11978	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
have something going for one	filled	11978	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
have something on good authority	filled	11978	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
have something over someone	filled	11978	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
have something to show for something	filled	11978	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
all one wants	filled	9203	0	12	0.00	no	A Luftwaffe captain wants to see the prisoners in the detention barracks.	captain … wants
do someone like that	filled	6359	0	12	0.00	no	A Japanese would never do such a thing.	do … thing
make one	filled	4024	3	12	0.25	no	A German hostess made love to a Turk on an intercontinental flight.	made … love
all one likes	filled	3184	0	12	0.00	no	A bar is provided for those who like strong drinks.	who … like
know someone	filled	2627	3	12	0.25	no	A baby does not know good or evil.	know … good
know someone from Adam	filled	2627	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from Adam's off ox	filled	2627	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from Eve	filled	2627	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from a can of paint	filled	2627	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from a hole in the ground	filled	2627	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from a hole in the wall	filled	2627	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from the man in the moon	filled	2627	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from the man on the moon	filled	2627	0	12	0.00	no	A baby does not know good or evil.	know … good
give someone something to think about	filled	2348	0	12	0.00	no	A cow gives us milk.	gives … us … milk
find oneself	filled	1829	0	12	0.00	no	A Smart car can always find a spot to park.	find … spot
help oneself	filled	1296	0	12	0.00	no	A cigarette might help my memory.	help … memory
buy the big one	filled	1225	0	12	0.00	no	A few dollars to buy some record albums?	buy … albums
kill oneself	filled	1099	2	12	0.17	no	A bomb killed eight people yesterday.	killed … people
you know something	filled	899	7	12	0.58	no	Do you guys know him?	you … know … him
talk to oneself	filled	841	11	12	0.92	yes	Some bitch might talk shit to you.	talk … to … you
come to oneself	filled	691	0	12	0.00	no	A few people came to the lecture.	came … to … lecture
make one	clitic	626	10	12	0.83	yes	He finally found out how to make it.	make … it
show oneself	filled	605	0	12	0.00	no	A chance for Faramir, captain of Gondor, to show his quality.	show … quality
what someone said	filled	549	4	12	0.33	no	Darling, what are you saying?	what … you … saying
drink something like lemonade	filled	523	12	12	1.00	yes		
change oneself	filled	468	1	12	0.08	no	A book can change your life.	change … life
know someone from Adam	clitic	445	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
know someone from Adam's off ox	clitic	445	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
know someone from a can of paint	clitic	445	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
know someone from a hole in the ground	clitic	445	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
know someone from the man in the moon	clitic	445	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
cut oneself	filled	382	1	12	0.08	no	A Shah may cut off the head of anyone he dislikes.	cut … head
forget oneself	filled	347	0	12	0.00	no	A good friend never forgets us.	forgets … us
be oneself	filled	327	0	12	0.00	no	A woman without a man is nothing.	is … nothing
have something on good authority	clitic	304	0	12	0.00	no	After school, you can have it back again.	have … it
have something to show for something	clitic	304	0	12	0.00	no	After school, you can have it back again.	have … it
trust someone across the street	filled	300	0	12	0.00	no	And I could trust no one.	trust … one
enjoy oneself	filled	285	3	12	0.25	no	Algerians enjoy state subsidies.	enjoy … subsidies
teach someone who's the boss	filled	277	1	12	0.08	no	A premium teacher should teach premium kids.	teach … kids
carry oneself	filled	266	0	12	0.00	no	A cargo ship carrying munitions explodes in the harbor.	carrying … munitions
say to oneself	filled	258	0	12	0.00	no	After I said such a thing to my boss, I am certain to lose my job.	said … to … boss
know someone	clitic	256	5	12	0.42	no	I already knew it.	knew … it
know someone from the man on the moon	clitic	256	0	12	0.00	no	After all, you know me.	know … me
in something's way	clitic	247	0	12	0.00	no	A caravan of fifty camels slowly made its way through the desert.	its … way
one's way	clitic	247	11	12	0.92	yes	Frankly speaking, your way of thinking is out of date.	your … way
beat oneself	filled	232	0	12	0.00	no	Am I supposed to dance naked, beating a drum?	beating … drum
let one go	filled	217	8	12	0.67	yes	It would be a pity to let all our hard work go to waste.	let … work … go
let oneself go	filled	217	0	12	0.00	no	Alika, as the Eagle Woman I command you to let me go.	let … me … go
let someone go	filled	217	9	12	0.75	yes	It would be a pity to let all our hard work go to waste.	let … work … go
work one's passage	clitic	217	0	12	0.00	no	A few minutes after he finished his work, he went to bed.	his … work
pull oneself	filled	208	0	12	0.00	no	Actually, we have to pull it off before he gets here.	pull … it
piece of someone	filled	206	1	12	0.08	no	A piece of Spanish territory is enclaved within France.	piece … of … territory
cross oneself	filled	196	0	12	0.00	no	A little black dog is crossing the road.	crossing … road
have something going for one	clitic	193	0	12	0.00	no	After school, you can have it back again.	have … it
one's way	filled	180	5	12	0.42	no	A castle stands a little way up the hill.	way … hill
let one go	clitic	166	5	12	0.42	no	Honjo, let it go.	let … it … go
have someone going	clitic	158	0	12	0.00	no	All the stadiums have them now.	have … them
clothes on one's back	clitic	154	0	12	0.00	no	Adjust your clothes.	your … clothes
have something over someone	clitic	146	0	12	0.00	no	After school, you can have it back again.	have … it
good for someone	filled	140	7	12	0.58	no	For me, it was the best season.	For … me … best
give it to someone	filled	133	12	12	1.00	yes		
live with oneself	filled	133	1	12	0.08	no	Although she lives with seven other man, she is not easy.	lives … with … man
handle oneself	filled	127	0	12	0.00	no	And he can handle his relationship by himself.	handle … relationship
trust someone across the street	clitic	127	12	12	1.00	yes		
what can one do	filled	124	11	12	0.92	yes	What will the Colonel could do?	What … Colonel … could … do
know someone from Eve	clitic	119	0	12	0.00	no	After all, you know me.	know … me
know someone from a hole in the wall	clitic	119	0	12	0.00	no	After all, you know me.	know … me
owe someone one	filled	116	3	12	0.25	no	And I do think you owe him an apology.	owe … him … apology
collect oneself	filled	114	0	12	0.00	no	Ants collect food for their colonies.	collect … food
